isolate,glucose_vv,experiment_repeat,well_id,time_s,OD,,,,,,
NCTC12156,1,1,A1,43199.9,0.728100002,,,,,,
NCTC12156,1,1,A2,43199.9,0.728299975,,,,,,
NCTC12156,1,1,A3,43199.9,0.707099974,,,,,,
NCTC12156,1,2,A1,43199.9,0.73360002,,,,,,
NCTC12156,1,2,A2,43199.9,0.697799981,,,,,,
NCTC12156,1,2,A3,43199.9,0.682299972,,,,,,
NCTC12156,1,3,A1,43199.9,0.79610002,,,,,,
NCTC12156,1,3,A2,43199.9,0.779799998,,,,,,
NCTC12156,1,3,A3,43199.9,0.788399994,,,,,,
NCTC12156,1,1,A1,46800,0.841400027,,,,,,
NCTC12156,1,1,A2,46800,0.835699975,,,,,,
NCTC12156,1,1,A3,46800,0.797100008,,,,,,
NCTC12156,1,2,A1,46800,0.824000001,,,,,,
NCTC12156,1,2,A2,46800,0.796299994,,,,,,
NCTC12156,1,2,A3,46800,0.767700016,,,,,,
NCTC12156,1,3,A1,46800,0.894800007,,,,,,
NCTC12156,1,3,A2,46800,0.880800009,,,,,,
NCTC12156,1,3,A3,46800,0.857599974,,,,,,
NCTC12156,1,1,A1,50399.9,0.92110002,,,,,,
NCTC12156,1,1,A2,50399.9,0.907100022,,,,,,
NCTC12156,1,1,A3,50399.9,0.887899995,,,,,,
NCTC12156,1,2,A1,50399.9,0.909699976,,,,,,
NCTC12156,1,2,A2,50399.9,0.867900014,,,,,,
NCTC12156,1,2,A3,50399.9,0.854799986,,,,,,
NCTC12156,1,3,A1,50399.9,0.982599974,,,,,,
NCTC12156,1,3,A2,50399.9,0.948499978,,,,,,
NCTC12156,1,3,A3,50399.9,0.938000023,,,,,,
NCTC12156,1,1,A1,53999.9,0.957300007,,,,,,
NCTC12156,1,1,A2,53999.9,0.979499996,,,,,,
NCTC12156,1,1,A3,53999.9,0.977500021,,,,,,
NCTC12156,1,2,A1,53999.9,0.959399998,,,,,,
NCTC12156,1,2,A2,53999.9,0.944500029,,,,,,
NCTC12156,1,2,A3,53999.9,0.927200019,,,,,,
NCTC12156,1,3,A1,53999.9,1.01849997,,,,,,
NCTC12156,1,3,A2,53999.9,1.011100054,,,,,,
NCTC12156,1,3,A3,53999.9,0.981700003,,,,,,
NCTC12156,1,1,A1,57599.9,1.019500017,,,,,,
NCTC12156,1,1,A2,57599.9,1.047999978,,,,,,
NCTC12156,1,1,A3,57599.9,1.035899997,,,,,,
NCTC12156,1,2,A1,57599.9,1.009500027,,,,,,
NCTC12156,1,2,A2,57599.9,0.98180002,,,,,,
NCTC12156,1,2,A3,57599.9,0.994700015,,,,,,
NCTC12156,1,3,A1,57599.9,1.04550004,,,,,,
NCTC12156,1,3,A2,57599.9,1.001999974,,,,,,
NCTC12156,1,3,A3,57599.9,1.038699985,,,,,,
NCTC12156,1,1,A1,61199.9,1.025300026,,,,,,
